# scale_factor(a)       Density contrast    Growth_factor(D(z))
9.990009990009990001e-04 1.000000000000000082e-05 2.121831212775349661e-03
1.999001999001998996e-03 1.341914820839990834e-05 2.847316751744133432e-03
2.999002999002998993e-03 1.878101220566538458e-05 3.985013790549562368e-03
3.999003999003998555e-03 2.451740205513775766e-05 5.202178893675379369e-03
4.999004999004998985e-03 3.038128724609149531e-05 6.446396356305057578e-03
5.999005999005998548e-03 3.630175118548123979e-05 7.702618874375863865e-03
6.999006999006998977e-03 4.225160424297379777e-05 8.965077267257318822e-03
7.999007999008000275e-03 4.821842210134164340e-05 1.023113530454034491e-02
8.999008999008999837e-03 5.419580303590751754e-05 1.149943464830136160e-02
9.999009999009999400e-03 6.018014217047608534e-05 1.276921040465742174e-02
1.099901099901099896e-02 6.616927986434755372e-05 1.404000433430400811e-02
1.199901199901199852e-02 7.216184559361372758e-05 1.531152563520049234e-02
1.299901299901299809e-02 7.815693528037077138e-05 1.658358247727536108e-02
1.399901399901399765e-02 8.415392246078795037e-05 1.785604193547763938e-02
1.499901499901500068e-02 9.015237202065310720e-05 1.912881168591568440e-02
1.599901599901600024e-02 9.615196886395515046e-05 2.040182487053435884e-02
1.699901699901699981e-02 1.021524773824080253e-04 2.167503149723212785e-02
1.799901799901799937e-02 1.081537207182290132e-04 2.294839403977263007e-02
1.899901899901899893e-02 1.141555633826456641e-04 2.422188374972523289e-02
1.999901999901999849e-02 1.201579003333152882e-04 2.549547833887779238e-02
2.099902099902099806e-02 1.261606418409197124e-04 2.676915876818351456e-02
2.199902199902200109e-02 1.321637243833301224e-04 2.804291155931883800e-02
2.299902299902300065e-02 1.381670919352365439e-04 2.931672482465861457e-02
2.399902399902400021e-02 1.441707022804851457e-04 3.059058960664756341e-02
2.499902499902499978e-02 1.501745179135921830e-04 3.186449794725507156e-02
2.599902599902599934e-02 1.561785084132216869e-04 3.313844339158712737e-02
2.699902699902699890e-02 1.621826461844429223e-04 3.441242008446519091e-02
2.799902799902799846e-02 1.681869096041469869e-04 3.568642343783052368e-02
2.899902899902900150e-02 1.741912794171733992e-04 3.696044936606307507e-02
2.999902999903000106e-02 1.801957391483715698e-04 3.823449437341397417e-02
3.099903099903100062e-02 1.862002743676090624e-04 3.950855539805267491e-02
3.199903199903200018e-02 1.922048730676064832e-04 4.078262989223715301e-02
3.299903299903299975e-02 1.982095233223730383e-04 4.205671532547346908e-02
3.399903399903399931e-02 2.042142131169614766e-04 4.333080914839260167e-02
3.499903499903499887e-02 2.102189320610014850e-04 4.460490915633335413e-02
3.599903599903599843e-02 2.162236744840704086e-04 4.587901414612774453e-02
3.699903699903699800e-02 2.222284326813197153e-04 4.715312248293696690e-02
3.799903799903799756e-02 2.282331988439680330e-04 4.842723250986941813e-02
3.899903899903899712e-02 2.342379661297044099e-04 4.970134277510219328e-02
3.999903999903999668e-02 2.402427298722940537e-04 5.097545228853903737e-02
4.099904099904099625e-02 2.462474844734489367e-04 5.224955986231771821e-02
4.199904199904200275e-02 2.522522243561572518e-04 5.352366431309046879e-02
4.299904299904300231e-02 2.582569442989468729e-04 5.479776453294903094e-02
4.399904399904400187e-02 2.642616396625845749e-04 5.607185953752642088e-02
4.499904499904500144e-02 2.702663054202971435e-04 5.734594826022620939e-02
4.599904599904600100e-02 2.762709364035653746e-04 5.862002960437585203e-02
4.699904699904700056e-02 2.822755279338117558e-04 5.989410257726018177e-02
4.799904799904800012e-02 2.882800760986570232e-04 6.116816634873834674e-02
4.899904899904899969e-02 2.942845766176929549e-04 6.244222001057996713e-02
4.999904999904999925e-02 3.002890252905914231e-04 6.371626267154631429e-02
5.099905099905099881e-02 3.062934179528621691e-04 6.499029344800284769e-02
5.199905199905199837e-02 3.122977506446444331e-04 6.626431149973395496e-02
5.299905299905299794e-02 3.183020192128657440e-04 6.753831594552774098e-02
5.399905399905399750e-02 3.243062196349055944e-04 6.881230593185205802e-02
5.499905499905499706e-02 3.303103479910050443e-04 7.008628062700018868e-02
5.599905599905599662e-02 3.363144003632778959e-04 7.136023919966283380e-02
5.699905699905700313e-02 3.423183727161977332e-04 7.263418079356938339e-02
5.799905799905800269e-02 3.483222609884331525e-04 7.390810454697388510e-02
5.899905899905900225e-02 3.543260610928483049e-04 7.518200959265508576e-02
5.999905999906000181e-02 3.603297689165022998e-04 7.645589505791634821e-02
6.099906099906100138e-02 3.663333803206497469e-04 7.772976006458576226e-02
6.199906199906200094e-02 3.723368911407403227e-04 7.900360372901603367e-02
6.299906299906299356e-02 3.783402972108787510e-04 8.027742516727449928e-02
6.399906399906399312e-02 3.843435946705182752e-04 8.155122356021830832e-02
6.499906499906499269e-02 3.903467795180169415e-04 8.282499805876658572e-02
6.599906599906599225e-02 3.963498476582263215e-04 8.409874779399793832e-02
6.699906699906699181e-02 4.023527949865625549e-04 8.537247189498894939e-02
6.799906799906799137e-02 4.083556173890064036e-04 8.664616948881420644e-02
6.899906899906899094e-02 4.143583107421030349e-04 8.791983970054616238e-02
6.999906999906999050e-02 4.203608709129622923e-04 8.919348165325528821e-02
7.099907099907099006e-02 4.263632937592584248e-04 9.046709446800998977e-02
7.199907199907198962e-02 4.323655749842043308e-04 9.174067723310455613e-02
7.299907299907298919e-02 4.383677097786385863e-04 9.301422892811610221e-02
7.399907399907398875e-02 4.443696936614198218e-04 9.428774860222209619e-02
7.499907499907498831e-02 4.503715221599052950e-04 9.556123530640320274e-02
7.599907599907598788e-02 4.563731907650198723e-04 9.683468808390979787e-02
7.699907699907698744e-02 4.623746949312558660e-04 9.810810597026188573e-02
7.799907799907798700e-02 4.683760300766730885e-04 9.938148799324907079e-02
7.899907899907898656e-02 4.743771915828989610e-04 1.006548331729306689e-01
7.999907999907998613e-02 4.803781747951283506e-04 1.019281405216355962e-01
8.099908099908098569e-02 4.863789748719142981e-04 1.032014090120905031e-01
8.199908199908199913e-02 4.923795868096255595e-04 1.044746375826093171e-01
8.299908299908299869e-02 4.983800057151868777e-04 1.057478251949640485e-01
8.399908399908399825e-02 5.043802266474395508e-04 1.070209708007242300e-01
8.499908499908499782e-02 5.103802446161567058e-04 1.082940733410479306e-01
8.599908599908599738e-02 5.163800545820432979e-04 1.095671317466817979e-01
8.699908699908699694e-02 5.223796514567366532e-04 1.108401449379611825e-01
8.799908799908799650e-02 5.283790301028057097e-04 1.121131118248099023e-01
8.899908899908899607e-02 5.343781958399552133e-04 1.133860335359795357e-01
8.999908999908999563e-02 5.403771182938754344e-04 1.146589036265542177e-01
9.099909099909099519e-02 5.463758082003225157e-04 1.159317243744801967e-01
9.199909199909199475e-02 5.523742598937386988e-04 1.172044945776217623e-01
9.299909299909299432e-02 5.583724677085660087e-04 1.184772130338431206e-01
9.399909399909399388e-02 5.643704259792467958e-04 1.197498785410085753e-01
9.499909499909499344e-02 5.703681290402230850e-04 1.210224898969823465e-01
9.599909599909599300e-02 5.763655712259371181e-04 1.222950458996287099e-01
9.699909699909699257e-02 5.823627468708310285e-04 1.235675453468119134e-01
9.799909799909799213e-02 5.883596500274741172e-04 1.248399869765875470e-01
9.899909899909899169e-02 5.943562732929924975e-04 1.261123692181907174e-01
9.999909999909999125e-02 6.003526105298516782e-04 1.273846907693402253e-01
1.009991009991009908e-01 6.063486558628867215e-04 1.286569503834252004e-01
1.019991019991019904e-01 6.123444034169322559e-04 1.299291468138347172e-01
1.029991029991029899e-01 6.183398473168233433e-04 1.312012788139579611e-01
1.039991039991039895e-01 6.243349816873946124e-04 1.324733451371840065e-01
1.049991049991049891e-01 6.303298006534810167e-04 1.337453445369019833e-01
1.059991059991059886e-01 6.363242983399175099e-04 1.350172757665010492e-01
1.069991069991069882e-01 6.423184688715388290e-04 1.362891375793702786e-01
1.079991079991079878e-01 6.483123063731798192e-04 1.375609287288988014e-01
1.089991089991089873e-01 6.543058049696753257e-04 1.388326479684757475e-01
1.099991099991099869e-01 6.602989587858603023e-04 1.401042940514902468e-01
1.109991109991109864e-01 6.662917619465694857e-04 1.413758657313314016e-01
1.119991119991119860e-01 6.722842085766377214e-04 1.426473617613883138e-01
1.129991129991129994e-01 6.782762928009000714e-04 1.439187808950501690e-01
1.139991139991139990e-01 6.842680087441910556e-04 1.451901218857060138e-01
1.149991149991149986e-01 6.902593505313457363e-04 1.464613834867450337e-01
1.159991159991159981e-01 6.962503122871988503e-04 1.477325644515562753e-01
1.169991169991169977e-01 7.022408881365853513e-04 1.490036635335289239e-01
1.179991179991179973e-01 7.082310722043400845e-04 1.502746794860520818e-01
1.189991189991189968e-01 7.142208557967647279e-04 1.515456104644697100e-01
1.199991199991199964e-01 7.202102255463636946e-04 1.528164536324248812e-01
1.209991209991209959e-01 7.261991743025931556e-04 1.540872074726928609e-01
1.219991219991219955e-01 7.321876952347200831e-04 1.553578705359074108e-01
1.229991229991229951e-01 7.381757815120113409e-04 1.566284413727022373e-01
1.239991239991239946e-01 7.441634263037340095e-04 1.578989185337111301e-01
1.249991249991249942e-01 7.501506227791548444e-04 1.591693005695677676e-01
1.259991259991259938e-01 7.561373641075411428e-04 1.604395860309059951e-01
1.269991269991269933e-01 7.621236434581595519e-04 1.617097734683594634e-01
1.279991279991279929e-01 7.681094540002772605e-04 1.629798614325619621e-01
1.289991289991289924e-01 7.740947889031611325e-04 1.642498484741472531e-01
1.299991299991299920e-01 7.800796413360781400e-04 1.655197331437490149e-01
1.309991309991309916e-01 7.860640044682953636e-04 1.667895139920010927e-01
1.319991319991319911e-01 7.920478714690795587e-04 1.680591895695371096e-01
1.329991329991329907e-01 7.980312355076979143e-04 1.693287584269909107e-01
1.339991339991339903e-01 8.040140897534171858e-04 1.705982191149961746e-01
1.349991349991349898e-01 8.099964273755045621e-04 1.718675701841866910e-01
1.359991359991359894e-01 8.159782415432267986e-04 1.731368101851961938e-01
1.369991369991369889e-01 8.219595254258510843e-04 1.744059376686584173e-01
